"filename", "language", "JSON", "TypeScript", "JavaScript", "Ignore", "JSON with Comments", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/bibek/Projects/Rapid-Room/server/.prettierignore", "Ignore", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/bibek/Projects/Rapid-Room/server/.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/bibek/Projects/Rapid-Room/server/dist/app.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/bibek/Projects/Rapid-Room/server/dist/app.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 11, 1, 75
"/home/bibek/Projects/Rapid-Room/server/dist/config/passport.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/config/passport.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 1, 1, 87
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewHotel.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewHotel.controller.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 19, 1, 117
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewReview.controller.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 6, 1, 76
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addWishlist.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addWishlist.controller.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHost.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHost.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 2, 1, 47
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHotel.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHotel.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 2, 1, 52
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHosts.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHosts.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 6, 1, 87
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHotels.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHotels.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 1, 1, 65
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllPayments.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
